epoch,step,train_loss,val_acc,val_auc,val_loss
0,244,,0.5981416702270508,0.6218216419219971,0.6729800701141357
0,244,0.7079201936721802,,,
1,489,,0.6277584433555603,0.6608891487121582,0.6535874009132385
1,489,0.6507406234741211,,,
2,734,,0.6364692449569702,0.6670656800270081,0.6572839617729187
2,734,0.6214428544044495,,,
3,979,,0.6324042081832886,0.6705490350723267,0.6547133326530457
3,979,0.6057860255241394,,,
4,1224,,0.6207897663116455,0.6652989387512207,0.660763680934906
4,1224,0.5952784419059753,,,
