Feature,Coefficient,Odds_Ratio,Abs_Coefficient
"Keywords_Cartesian equations of a plane,Intersection,Cartesian equations of a line",-1.4256916545060605,0.24034217196069307,1.4256916545060605
"Keywords_Eigenvalue,Eigenvector,Spectrum,Characteristic polynomial",-1.415754938549653,0.24274228874660114,1.415754938549653
"Keywords_Student distribution,Hypothesis testing",1.3298793615575577,3.7805872758965515,1.3298793615575577
"Keywords_Logarithmic rule,Power rule,Exponential rule,Trigonometric rules,Product rule",-1.171933118257744,0.30976754480350605,1.171933118257744
"Keywords_Polygons,Geometric transformations,Geometrical figures",1.1664221686034983,3.2104854897013855,1.1664221686034983
"Keywords_Imaginary part,Complex plane ,Real part",1.0725308563278146,2.922767251357804,1.0725308563278146
"Keywords_Product rule,Trigonometric rules,Exponential rule",-1.026161688297143,0.3583798977587608,1.026161688297143
Student Country_Slovenia,1.0211045974933224,2.776259720409032,1.0211045974933224
"Keywords_Inconsistent system,Solution of linear system,Undetermined solution of linear system,Consistent system,Square linear system",-0.9951209392265475,0.3696787331803727,0.9951209392265475
"Keywords_Mean,Median,Outliers,Interquartile range",0.9899324245767979,2.691052617185396,0.9899324245767979
"Keywords_Spectrum,Characteristic polynomial,Diagonalization,Eigenvalue",0.9776741674763691,2.6582663640441413,0.9776741674763691
"Keywords_Injective linear application,Isomorphism",0.9526183937167945,2.592488936776789,0.9526183937167945
"Keywords_Polygons,Triangles",0.9490916343671358,2.583361955972705,0.9490916343671358
"Keywords_Power rule,Quotient rule,Product rule,Trigonometric rules",0.9442177939279647,2.5708016952194237,0.9442177939279647
"Keywords_First order,Directional derivative",-0.9304407654848289,0.3943798430343336,0.9304407654848289
Keywords_Linear regression,0.9285003817143677,2.5307112297577783,0.9285003817143677
"Keywords_Principal argument,Trigonometric form,Modulus of a complex number,Algebraic form",0.8816834093266924,2.4149616554709215,0.8816834093266924
"Keywords_Symmetric matrix,Matrix multiplication,Matrix operations",0.8487715977626679,2.3367745890067964,0.8487715977626679
"Keywords_Product rule,Trigonometric rules,Logarithmic rule",-0.8291172440543491,0.43643438136909685,0.8291172440543491
"Keywords_Eigenvalue,Spectrum,Eigenvector,Characteristic polynomial",0.7935666649130562,2.211269234467529,0.7935666649130562
"Keywords_Population,Sample",-0.7877692006833205,0.4548583620532486,0.7877692006833205
"Keywords_Matrix equivalent - echelon,Matrix rank,Matrix operations,Hermitian matrix,Matrix multiplication,Symmetric matrix,Linearly independent rows,Commuting matrices,Determinant computation,Determinant properties,Inverse matrix ,Solve matrix equation",-0.7864619720557985,0.4554533547365975,0.7864619720557985
"Keywords_Eigenvalue,Eigenvector",-0.7705478170034966,0.46275949134279515,0.7705478170034966
"Keywords_Orthogonality,Cross product",0.7696552035839338,2.159021702487755,0.7696552035839338
Keywords_Quotient rule,0.7693460544795351,2.158354346023695,0.7693460544795351
"Keywords_Minimum,Maximum,Stationary point,Second derivative test,Unconstrained optimization,Saddle point,Optimal solution",-0.7632337546539048,0.46615655112492793,0.7632337546539048
"Keywords_Newtons method,Nonlinear equation",-0.7590206959029321,0.4681246389857536,0.7590206959029321
"Keywords_Student distribution,Confidence interval,Point estimate,Hypothesis testing",-0.7551698448974856,0.4699307926047442,0.7551698448974856
Keywords_Direct inspection,-0.7531423709664251,0.47088453154986976,0.7531423709664251
"Keywords_Polar representation,Trigonometric form,Modulus of a complex number,Operations with complex numbers,Algebraic form,Principal argument,De Moivre formulas",0.7492254616657041,2.1153609537865394,0.7492254616657041
"Keywords_Undetermined solution of linear system,Consistent system,Inconsistent system,Solution of linear system",-0.7443366854898031,0.4750493025509023,0.7443366854898031
"Keywords_Substitution,Direct inspection,Simple integration",0.7280914118394524,2.0711239104479655,0.7280914118394524
"Keywords_Eigenvalue,Diagonalization,Spectrum,Characteristic polynomial",0.7201503719444758,2.0547421629888682,0.7201503719444758
"Keywords_Homogeneous equation,Cauchy problem",0.7175726326665258,2.049452394160806,0.7175726326665258
"Keywords_Distance,Scalar product,Cross product,Orthogonal projection,Orthogonality,Collinearity,Locus",0.7093166044961823,2.0326017130244822,0.7093166044961823
"Keywords_Scalar product,Orthogonality,Orthogonal projection,Distance",-0.7063853952374272,0.49342451254792274,0.7063853952374272
"Keywords_Polyhedrons,Geometric solids,Classification of geometric solids",0.7061664990750472,2.0262088776883282,0.7061664990750472
"Keywords_Integration by parts,Substitution,Simple integration,Direct inspection",0.7053800241527423,2.0246159417028857,0.7053800241527423
"Keywords_Duality theory,Linear programming",-0.7036172767975689,0.4947922622129564,0.7036172767975689
"Keywords_Sample space,Event",-0.6991650637477617,0.497000094001469,0.6991650637477617
Keywords_Substitution,0.6984721320065204,2.0106783083979884,0.6984721320065204
"Keywords_Symmetry,Geometric transformations",0.6913317891807202,1.9963725108940187,0.6913317891807202
"Keywords_Orthogonality,Cross product,Distance",0.6890151548962579,1.9917529988167486,0.6890151548962579
"Keywords_Quantile,Frequency,Sample,Mean,Variance,Standard deviation,Median,Mode",-0.6877781461301297,0.5026917367624684,0.6877781461301297
"Keywords_Simplex method,Duality theory",0.6701682165258515,1.9545660832995875,0.6701682165258515
"Keywords_Algebraic form,Principal argument,De Moivre formulas,Polar representation,Trigonometric form,Operations with complex numbers,Modulus of a complex number",-0.6634272937445559,0.5150829652375607,0.6634272937445559
Subtopic_Definite Integrals,0.6617558382317199,1.9381925009508731,0.6617558382317199
"Keywords_Directional derivative,Gradient",0.6584933502687834,1.931879474931928,0.6584933502687834
Student Country_Russian Federation,-0.6539200699872817,0.5200033266687198,0.6539200699872817
Keywords_Power of trigonometric functions,-0.6528382513539294,0.5205661803548243,0.6528382513539294
"Keywords_Commuting matrices,Solve matrix equation,Matrix equivalent - echelon,Determinant computation,Matrix rank,Inverse matrix ,Determinant properties,Hermitian matrix,Matrix multiplication,Linearly independent rows,Symmetric matrix,Matrix operations",-0.6507001687915652,0.5216803845334042,0.6507001687915652
"Keywords_Conjugate number,Operations with complex numbers",0.6483710952290932,1.91242313532107,0.6483710952290932
"Keywords_Population,Variance,Median,Standard deviation,Mode,Quantile,Sample,Mean",-0.6428827402799477,0.5257745657796669,0.6428827402799477
"Keywords_Operations with complex numbers,Imaginary part,Modulus of a complex number,Conjugate number,Real part",-0.6244033964458999,0.5355808626679168,0.6244033964458999
